Date/Time,Electricity:Facility,Fans:Electricity,Cooling:Electricity,Heating:Electricity,InteriorLights:Electricity,InteriorEquipment:Electricity,Gas:Facility,Heating:Gas,InteriorEquipment:Gas,Water Heater:WaterSystems:Gas
 01/15  02:00:00,979.6570426,96.21671978,603.2228395,0,34.96165543,113.3127805,494.5342409,471.44664,5.664669961,17.42293096
 01/15  03:00:00,979.0632262,96.21671978,602.7428838,0,34.96165543,113.3127805,500.3306933,477.2407778,5.664669961,17.42524557
 01/15  04:00:00,978.3851586,96.21671978,602.1281998,0,34.96165543,113.3127805,497.437978,483.0521037,5.664669961,8.721204355
 01/15  05:00:00,985.5936694,96.21671978,599.5102067,0,44.49376632,113.3127805,501.5580318,478.4677043,5.664669961,17.42565759
 01/15  06:00:00,981.6400559,96.21671978,595.8363636,0,44.49376632,113.3127805,514.4586309,482.8755366,14.1616749,17.42141942
 01/15  07:00:00,1050.733434,96.21671978,592.2520367,0,54.02587722,176.8892702,470.0167901,424.2693371,28.3233498,17.42410315
 01/15  08:00:00,1037.96086,96.21671978,587.7374881,0,54.02587722,184.3865456,461.6054239,410.3997155,42.48502471,8.720683681
 01/15  09:00:00,1118.223393,96.21671978,588.3552818,0,65.15725541,220.0431645,462.6112598,379.7176594,56.64669961,26.24690079
 01/15  10:00:00,1118.742632,96.21671978,595.4305221,0,65.15725541,212.5458892,430.0876553,361.2318975,42.48502471,26.37073305
 01/15  11:00:00,1136.210077,96.21671978,604.789862,0,65.15725541,220.0431645,449.9875116,352.6803173,70.80837451,26.49881973
 01/15  12:00:00,1136.22895,96.21671978,604.3258429,0,65.15725541,220.0431645,447.1902812,349.8862759,70.80837451,26.49563077
 01/15  13:00:00,1128.55326,96.21671978,598.2107732,0,65.15725541,220.0431645,452.9558402,346.8269013,70.80837451,35.32056437
 01/15  14:00:00,1120.508959,96.21671978,597.3066309,0,65.15725541,212.5458892,422.5054078,339.3612288,56.64669961,26.49747936
 01/15  15:00:00,1125.352889,96.21671978,601.7256633,0,65.15725541,212.5458892,393.0655132,324.0882468,42.48502471,26.49224159
 01/15  16:00:00,1128.111406,96.21671978,604.4226108,0,65.15725541,212.5458892,409.0306568,317.0596187,56.64669961,35.32433853
 01/15  17:00:00,1096.743275,96.21671978,598.8938773,0,65.15725541,220.0431645,443.5625206,332.093274,84.97004941,26.49919716
 01/15  18:00:00,1053.673299,96.21671978,585.4842653,0,54.02587722,184.3865456,478.5346736,367.1937605,84.97004941,26.37086365
 01/15  19:00:00,1015.512149,96.21671978,577.7378573,0,44.49376632,163.4543149,513.2896437,410.8945929,84.97004941,17.42500139
 01/15  20:00:00,1005.829699,96.21671978,575.9501099,0,44.49376632,155.9570395,487.4539238,422.0861314,56.64669961,8.721092794
 01/15  21:00:00,973.3288828,96.21671978,573.719926,0,44.49376632,124.5586935,535.2769522,461.2048404,56.64669961,17.42541218
 01/15  22:00:00,972.1249202,96.21671978,572.8858488,0,44.49376632,124.5586935,529.7809585,469.8712342,42.48502471,17.42469968
