Date/Time,Electricity:Facility,Fans:Electricity,Cooling:Electricity,Heating:Electricity,InteriorLights:Electricity,InteriorEquipment:Electricity,Gas:Facility,Heating:Gas,InteriorEquipment:Gas,Water Heater:WaterSystems:Gas
 09/30  01:00:00,908.238611609,96.2167197752,511.344130183,0.0,46.0930336215,113.312780494,408.488946713,385.461593826,5.66466996096,17.3626829263
 09/30  02:00:00,913.577242425,96.2167197752,516.89692563,0.0,46.0930336215,113.312780494,405.039416067,390.683461285,5.66466996096,8.69128482031
 09/30  03:00:00,913.516632845,96.2167197752,516.88141428,0.0,46.0930336215,113.312780494,408.58805816,394.232184785,5.66466996096,8.69120341424
 09/30  04:00:00,925.402046126,96.2167197752,518.603037826,0.0,55.6251445156,113.312780494,409.54944563,386.522642433,5.66466996096,17.3621332364
 09/30  05:00:00,927.494456682,96.2167197752,520.898924592,0.0,55.6251445156,113.312780494,411.711557147,388.858956827,14.1616749024,8.69092541843
 09/30  06:00:00,1000.74714611,96.2167197752,525.266129901,0.0,65.1572554096,176.889270242,367.394497422,330.380317105,28.3233498048,8.69083051167
 09/30  07:00:00,1100.69767943,98.4073911194,512.52690627,0.0,109.682768182,220.96816451,477.97391032,426.795881813,42.4850247072,8.69300379915
 09/30  08:00:00,1100.20593687,98.4808677846,501.547555728,0.0,109.682768182,220.96816451,452.093802151,378.010657624,56.6466996096,17.4364449169
 09/30  09:00:00,1194.65318937,101.265176246,487.272980918,0.0,131.945524568,266.955817592,393.499101017,324.7744075,42.4850247072,26.2396688095
 09/30  10:00:00,1191.09853377,101.600285171,477.659529804,0.0,131.945524568,274.45309292,370.686101574,282.317042847,70.808374512,17.560684215
 09/30  11:00:00,1196.45414336,101.582653686,479.141462343,0.0,131.945524568,274.45309292,334.568577569,237.428222332,70.808374512,26.3319807245
 09/30  12:00:00,1170.8372122,101.940324572,481.484651622,0.0,131.945524568,274.45309292,298.879214806,202.524332491,70.808374512,25.5465078031
 09/30  13:00:00,1171.35582434,102.650981374,486.702685033,0.0,131.945524568,266.955817592,259.290982683,184.306562653,56.6466996096,18.3377204203
 09/30  14:00:00,1175.76235673,104.235995925,488.688087476,0.0,131.945524568,266.955817592,230.4032032,161.588061597,42.4850247072,26.3301168959
 09/30  15:00:00,1090.50706397,96.2167197752,488.199115853,0.0,109.682768182,212.545889182,185.857206626,111.649609532,56.6466996096,17.5608974847
 09/30  16:00:00,1097.23689422,96.2167197752,488.472644606,0.0,109.682768182,220.04316451,239.079408916,127.777436361,84.9700494144,26.331923141
 09/30  17:00:00,1045.39161269,96.2167197752,481.612420178,0.0,109.682768182,220.04316451,247.167838283,144.708650755,84.9700494144,17.4891381135
 09/30  18:00:00,1012.11797335,96.2167197752,479.956752013,0.0,100.150657288,199.110933808,285.581121242,183.248187151,84.9700494144,17.3628846768
 09/30  19:00:00,1014.4763507,96.2167197752,480.974502959,0.0,100.150657288,191.61365848,256.851452289,191.513447713,56.6466996096,8.69130496559
 09/30  20:00:00,899.528172432,96.2167197752,479.245040108,0.0,55.6251445156,124.558693486,308.000380187,242.662463069,56.6466996096,8.69121750789
 09/30  21:00:00,894.907477577,96.2167197752,477.196036578,0.0,55.6251445156,124.558693486,331.733576804,271.886413268,42.4850247072,17.3621388284
 09/30  22:00:00,880.540909107,96.2167197752,475.393881684,0.0,46.0930336215,124.558693486,356.239113368,319.224838495,28.3233498048,8.69092506838
 09/30  23:00:00,883.868936329,96.2167197752,477.396468096,0.0,46.0930336215,124.558693486,343.389337016,320.536905774,14.1616749024,8.69075633998
 09/30  24:00:00,875.087050833,96.2167197752,479.207154453,0.0,46.0930336215,113.312780494,314.612556509,300.254886073,5.66466996096,8.69300047557
 10/01  01:00:00,865.586478239,96.2167197752,479.321117671,0.0,34.9616554283,113.312780494,313.409347999,290.378654133,5.66466996096,17.3660239048
